,Image,F1,Jaccard,Recall,Precision
0,833.png,0.8517745302713988,0.7418181818181818,1.0,0.7418181818181818
1,2069.png,0.568604740946645,0.3972381055130003,1.0,0.3972381055130003
2,3038.png,0.5685710371283738,0.3972052067381317,0.8237395791980945,0.4341004184100418
3,1169.png,0.6346642468239565,0.4648411537950286,0.9615067363211438,0.4736556955167276
4,501.png,0.8072613177947109,0.6768132281097332,0.6793662768766503,0.9944781888459415
5,31.png,0.9574041034790365,0.918288770053476,0.9638527166591827,0.9510412051395658
6,2242.png,0.8902805918830969,0.8022573863007635,0.8837152608483666,0.8969442038846963
7,1014.png,0.9411764705882353,0.8888888888888888,0.9637065637065637,0.9196757553426677
8,1322.png,0.8209399167162403,0.6962663975782039,0.9413369713506139,0.7278481012658228
9,1779.png,0.4964572508266415,0.33019164310398996,0.3528029540114132,0.8374501992031872
10,1217.png,0.405111821086262,0.25400641025641024,0.2589869281045752,0.9296187683284457
11,1956.png,0.5674946506651782,0.3961553448499805,0.9047760308513794,0.41339116291677963
12,108.png,0.8847772277227722,0.7933636666296748,0.8559626436781609,0.9155993852459017
13,1258.png,0.279572504250668,0.16250176478893125,0.9965367965367965,0.16259358666478316
14,571.png,0.7906859023032143,0.6538300544160737,0.9942711648631445,0.6563025210084034
15,1888.png,0.13465101914762198,0.07218543046357616,0.08002936857562408,0.42412451361867703
16,35.png,0.42857142857142866,0.2727272727272727,0.28104575163398693,0.9020979020979021
17,2162.png,0.641555024565737,0.4722716312897743,0.9173832923832924,0.4932502167361599
18,2582.png,0.0336094674556213,0.017091959557053442,0.017300194931773878,0.5867768595041323
19,1279.png,0.35419313850063533,0.21520941903107507,0.21785853849159828,0.9465195246179966
20,749.png,0.5714101489457734,0.39998194619967503,0.4179794359022734,0.9028117359413202
21,2122.png,0.0,0.0,0.0,0.0
22,2928.png,0.5701840357181749,0.39878141660319877,0.4186120882635114,0.893820416524411
23,74.png,0.9739921976592977,0.9493029150823827,0.9884060703176548,0.9599926760047606
24,788.png,0.3212489823284325,0.19136189878473212,0.2002985965959988,0.8109284332688588
25,707.png,0.9665717953010771,0.9353061885732801,0.9764347728041493,0.9569060773480663
26,1678.png,0.8970702618615504,0.8133521391631405,0.8667334669338678,0.9296077377753896
27,909.png,0.4302930466447026,0.2741231703949185,0.2741231703949185,1.0
