epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.19609645009040833,0.8043485283851624,0.001,0.01393807027488947,0.9860620498657227
1,0.30255740880966187,0.697763204574585,0.001,0.3045963644981384,0.6954037547111511
2,0.381399005651474,0.6189314723014832,0.001,0.36174276471138,0.6382571458816528
3,0.4570406377315521,0.5432279109954834,0.001,0.2941551208496094,0.7058448791503906
4,0.5003933906555176,0.49983033537864685,0.001,0.17768146097660065,0.8223183751106262
5,0.5358206629753113,0.46446141600608826,0.001,0.46925386786460876,0.5307461619377136
6,0.5441031455993652,0.45619648694992065,0.001,0.4891778528690338,0.5108221769332886
7,0.5665799975395203,0.4336632788181305,0.001,0.5073738694190979,0.4926263093948364
8,0.5698130130767822,0.4304808974266052,0.001,0.5596027970314026,0.44039711356163025
9,0.5899665951728821,0.4102908968925476,0.001,0.4830891489982605,0.5169108510017395
10,0.6027019619941711,0.3976081311702728,0.001,0.5426447987556458,0.45735517144203186
11,0.6123474836349487,0.3879678547382355,0.001,0.5545262098312378,0.4454737603664398
12,0.6235140562057495,0.3767836391925812,0.001,0.43986406922340393,0.5601358413696289
13,0.639796793460846,0.3604928255081177,0.001,0.5799831748008728,0.42001691460609436
14,0.6446089744567871,0.35559535026550293,0.001,0.5121608376502991,0.4878390431404114
15,0.6492080092430115,0.35107219219207764,0.001,0.5604233145713806,0.4395765960216522
16,0.6701526045799255,0.33010759949684143,0.001,0.5966964960098267,0.40330347418785095
17,0.676261305809021,0.3239886462688446,0.001,0.6002683043479919,0.3997318148612976
18,0.6909317970275879,0.3093229830265045,0.001,0.663754940032959,0.336245059967041
19,0.7048197984695435,0.2954074442386627,0.001,0.5825861096382141,0.4174140393733978
